id,x,y,class,distance,vx,vy
249,1524.653846,651.172414,7,62.65408322830287,1462,651
250,1368.893617,650.968085,0,81.71663283512068,1450,641
251,1442.419643,651.4910715,0,11.920395147207245,1453,646
252,2927.274621,651.064394,0,15.720089862366486,2920,665
253,1358.963362,651.7909485,4,91.6739550138026,1450,641
254,2886.273936,651.768617,2,12.252913899345991,2887,664
255,2348.273196,653.396907,0,199.58401400718716,2172,747
256,3431.729592,653.27551,0,338.18609204141814,3391,989
257,1342.716599,654.1639675,4,108.08801122450093,1450,641
258,1484.844643,654.607143,0,23.127671616915812,1462,651
259,1423.75,654.75,0,29.633173977824246,1450,641
260,1944.0851065,656.18617,0,83.91471993866902,1984,730
261,4083.76,656.42,0,135.68431744310024,4124,786
262,1845.02,655.8933335,0,157.50313780919484,1984,730
263,3104.305677,656.430131,0,178.17408170972968,2927,674
264,2037.4371585,657.887978,0,89.75340453421585,1984,730
265,4547.6436365,658.1472725,0,142.63830810176273,4515,797
266,1504.781818,658.859091,0,43.4976926138778,1462,651
267,3944.980769,659.451923,0,16.254371788207845,3936,673
268,1493.1422535,660.171831,0,32.46478764678461,1462,651
269,1845.694853,662.4375,0,153.9253231048797,1984,730
270,1515.641772,661.6253165,0,54.68397438029858,1462,651
271,4246.2375,661.1714285,0,144.4774454438499,4197,797
272,1354.269953,661.664319,2,97.9349578973513,1450,641
273,1405.699519,663.4903845,2,49.68249200462071,1450,641
274,1523.8125,661.6875,0,59.19571616679707,1534,720
275,2305.260965,661.6776315,0,158.2352405729552,2172,747
276,1361.3153845,662.8923075,0,91.34677965893165,1450,641
277,1541.83105,666.0136985,0,54.20202757970774,1537,720
278,3388.578534,662.379581,0,326.6206909265313,3389,989
279,3930.2326735,661.707921,0,12.257179532822411,3935,673
280,1309.258721,663.026163,2,119.84545831636007,1220,743
281,1462.53,663.3,2,12.311413403829752,1462,651
282,1240.0436895,663.895631,7,80.76622266554612,1216,741
283,1445.7238805,664.283582,2,19.500285606344498,1460,651
284,2901.653846,664.0153845,5,0.34649570640361504,2902,664
285,2081.1067415,665.1573035,0,83.27787642668922,2119,591
286,2087.5149255,665.5597015,0,80.93490596794216,2119,591
287,1339.430769,666.026923,0,113.36622829916888,1450,641
288,1454.7243765,666.963989,2,16.813124281521016,1460,651
289,2515.9276315,666.111842,0,214.01372166950577,2689,792
290,3762.0,665.5,0,68.2586990793115,3809,616
291,1386.237805,666.2317075,0,68.57300179067256,1450,641
